layer, H, W, C, R, S, K, padding, stride, conv?, N, P, Q
'layer3.10.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.11.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.11.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.11.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.12.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.12.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.12.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.13.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.13.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.13.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.14.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.14.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.14.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.15.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.15.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.15.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.16.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.16.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.16.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.17.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.17.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.17.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.18.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.18.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.18.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.19.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.19.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.19.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.20.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.20.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.20.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.21.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.21.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.21.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.22.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.22.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.22.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.23.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.23.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.23.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.24.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.24.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.24.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.25.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.25.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.25.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.26.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.26.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.26.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.27.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.27.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.27.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.28.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.28.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.28.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.29.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.29.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.29.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.30.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.30.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.30.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.31.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.31.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.31.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.32.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.32.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.32.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.33.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.33.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.33.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.34.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.34.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.34.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer3.35.conv1',8,8,1024,4,4,256,1,1,1,1024,1,1
'layer3.35.conv2',8,8,1024,8,8,256,1,1,1,256,3,3
'layer3.35.conv3',8,8,1024,4,4,1024,1,1,1,256,1,1
'layer4.0.conv1',8,8,1024,4,4,512,1,1,1,1024,1,1
'layer4.0.conv2',8,8,1024,4,4,512,1,2,1,512,3,3
'layer4.0.conv3',4,4,1024,2,2,2048,1,1,1,512,1,1
'layer4.0.shortcut.0',8,8,1024,4,4,2048,1,2,1,1024,1,1
'layer4.1.conv1',4,4,1024,2,2,512,1,1,1,2048,1,1
'layer4.1.conv2',4,4,1024,4,4,512,1,1,1,512,3,3
'layer4.1.conv3',4,4,1024,2,2,2048,1,1,1,512,1,1
'layer4.2.conv1',4,4,1024,2,2,512,1,1,1,2048,1,1
'layer4.2.conv2',4,4,1024,4,4,512,1,1,1,512,3,3
'layer4.2.conv3',4,4,1024,2,2,2048,1,1,1,512,1,1
'linear',1,1,1024,1,1,2048,1,1,0,10,1,1
